3.000000000000000000e+01,4.563546394750283071e+02
3.241379310344827758e+01,4.538414807821571912e+02
3.482758620689655515e+01,5.587081392152668968e+02
3.724137931034482563e+01,5.380732938895682764e+02
3.965517241379310320e+01,6.333007341477591581e+02
4.206896551724138078e+01,6.406097738844872538e+02
4.448275862068965125e+01,6.750213650228861297e+02
4.689655172413792883e+01,7.077145714237130960e+02
4.931034482758620641e+01,7.382488517703355910e+02
5.172413793103448398e+01,7.703738744675008547e+02
5.413793103448276156e+01,8.270112770035418635e+02
5.655172413793103203e+01,8.706743744418471351e+02
5.896551724137930961e+01,9.009850533591279600e+02
6.137931034482758719e+01,9.394587745586569554e+02
6.379310344827585766e+01,9.762680942605855989e+02
6.620689655172412813e+01,9.961234885062257263e+02
6.862068965517241281e+01,1.019075664729386517e+03
7.103448275862069750e+01,1.080990176668164167e+03
7.344827586206896797e+01,1.119650813294320187e+03
7.586206896551723844e+01,1.145121064564482140e+03
7.827586206896552312e+01,1.167764531171400222e+03
8.068965517241379359e+01,1.239028963736600872e+03
8.310344827586206407e+01,1.255549733037792748e+03
8.551724137931034875e+01,1.287757422193337106e+03
8.793103448275861922e+01,1.313336881653482806e+03
9.034482758620688969e+01,1.381091130530874352e+03
9.275862068965517437e+01,1.397017906587908328e+03
9.517241379310344485e+01,1.433771989376476085e+03
9.758620689655171532e+01,1.456823719626619777e+03
1.000000000000000000e+02,1.494611557242296385e+03
